event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),total_revenue_before_promo,total_revenue_after_promo,Incremental revenue,Incremental Sold Quantity Percent
1e2a0e,STBLR-9,CAMP_DIW_01,P01,172,33% OFF,329,467,56588,80324,23736,41.94528875
7a6449,STHYD-3,CAMP_DIW_01,P10,65,50% OFF,131,203,8515,13195,4680,54.96183206
6.24E+11,STMLR-0,CAMP_SAN_01,P03,200,BOGOF,206,541,41200,108200,67000,162.6213592
5aa413,STCHE-1,CAMP_SAN_01,P08,1190,BOGOF,43,109,51170,129710,78540,153.4883721
11a64e,STCHE-7,CAMP_SAN_01,P06,415,25% OFF,31,28,12865,11620,-1245,-9.677419355
67820e,STBLR-0,CAMP_SAN_01,P10,50,25% OFF,31,25,1550,1250,-300,-19.35483871
cd0d8e,STMDU-2,CAMP_DIW_01,P11,190,50% OFF,66,77,12540,14630,2090,16.66666667
ee63b3,STHYD-4,CAMP_DIW_01,P02,860,33% OFF,362,521,311320,448060,136740,43.92265193
abffa2,STCHE-5,CAMP_DIW_01,P07,300,BOGOF,59,206,17700,61800,44100,249.1525424
5487a6,STBLR-0,CAMP_DIW_01,P03,156,25% OFF,358,315,55848,49140,-6708,-12.01117318
0a4160,STCHE-7,CAMP_DIW_01,P03,156,25% OFF,330,323,51480,50388,-1092,-2.121212121
6422b4,STCBE-0,CAMP_DIW_01,P01,172,33% OFF,255,425,43860,73100,29240,66.66666667
6c7601,STCBE-2,CAMP_SAN_01,P14,1020,BOGOF,78,334,79560,340680,261120,328.2051282
d3575d,STMLR-2,CAMP_DIW_01,P02,860,33% OFF,210,268,180600,230480,49880,27.61904762
75ad53,STVJD-1,CAMP_DIW_01,P05,55,25% OFF,59,48,3245,2640,-605,-18.6440678
a08c5e,STMYS-2,CAMP_DIW_01,P05,55,25% OFF,99,88,5445,4840,-605,-11.11111111
d8a4ae,STBLR-0,CAMP_SAN_01,P05,55,25% OFF,28,22,1540,1210,-330,-21.42857143
14f1e9,STBLR-4,CAMP_DIW_01,P08,1190,BOGOF,49,163,58310,193970,135660,232.6530612
11178a,STCBE-0,CAMP_DIW_01,P07,300,BOGOF,36,118,10800,35400,24600,227.7777778
62775f,STCHE-2,CAMP_DIW_01,P07,300,BOGOF,59,196,17700,58800,41100,232.2033898
5.88E+11,STHYD-3,CAMP_DIW_01,P12,62,50% OFF,112,178,6944,11036,4092,58.92857143
4fca07,STMLR-2,CAMP_SAN_01,P01,172,33% OFF,183,215,31476,36980,5504,17.4863388
a216f7,STCBE-2,CAMP_DIW_01,P06,415,25% OFF,77,68,31955,28220,-3735,-11.68831169
18a68a,STMLR-0,CAMP_DIW_01,P01,172,33% OFF,173,250,29756,43000,13244,44.50867052
1f5ed3,STVSK-1,CAMP_SAN_01,P08,1190,BOGOF,33,131,39270,155890,116620,296.969697
58e374,STBLR-0,CAMP_DIW_01,P07,300,BOGOF,64,250,19200,75000,55800,290.625
f7aec5,STCHE-5,CAMP_SAN_01,P13,350,BOGOF,87,341,30450,119350,88900,291.954023
f4192d,STMYS-1,CAMP_DIW_01,P11,190,50% OFF,84,121,15960,22990,7030,44.04761905
a71e7c,STCBE-2,CAMP_SAN_01,P12,62,50% OFF,33,51,2046,3162,1116,54.54545455
f49149,STMYS-0,CAMP_SAN_01,P06,415,25% OFF,27,22,11205,9130,-2075,-18.51851852
e7cb59,STCHE-3,CAMP_DIW_01,P11,190,50% OFF,96,120,18240,22800,4560,25
8b1147,STVSK-0,CAMP_SAN_01,P15,3000,500 Cashback,73,170,219000,510000,291000,132.8767123
8d349f,STCBE-4,CAMP_SAN_01,P10,50,25% OFF,22,18,1100,900,-200,-18.18181818
096adc,STBLR-8,CAMP_SAN_01,P02,860,33% OFF,441,626,379260,538360,159100,41.95011338
5f0a89,STBLR-3,CAMP_SAN_01,P15,3000,500 Cashback,114,249,342000,747000,405000,118.4210526
127984,STMLR-2,CAMP_DIW_01,P04,290,25% OFF,141,125,40890,36250,-4640,-11.34751773
e8a904,STCHE-7,CAMP_DIW_01,P05,55,25% OFF,112,107,6160,5885,-275,-4.464285714
f1b7e9,STCHE-3,CAMP_DIW_01,P14,1020,BOGOF,52,211,53040,215220,162180,305.7692308
62d659,STHYD-6,CAMP_DIW_01,P10,65,50% OFF,105,137,6825,8905,2080,30.47619048
333b7d,STHYD-6,CAMP_DIW_01,P08,1190,BOGOF,49,166,58310,197540,139230,238.7755102
da9b71,STVSK-1,CAMP_DIW_01,P06,415,25% OFF,63,51,26145,21165,-4980,-19.04761905
463205,STVSK-2,CAMP_DIW_01,P02,860,33% OFF,215,371,184900,319060,134160,72.55813953
2b0db4,STMLR-2,CAMP_DIW_01,P14,1020,BOGOF,21,73,21420,74460,53040,247.6190476
003e8d,STCHE-3,CAMP_DIW_01,P02,860,33% OFF,371,519,319060,446340,127280,39.89218329
b0ab6c,STHYD-4,CAMP_SAN_01,P06,415,25% OFF,34,31,14110,12865,-1245,-8.823529412
2d7f62,STCHE-2,CAMP_SAN_01,P11,190,50% OFF,58,68,11020,12920,1900,17.24137931
58df9b,STCBE-2,CAMP_DIW_01,P02,860,33% OFF,183,327,157380,281220,123840,78.68852459
f22294,STMYS-1,CAMP_SAN_01,P01,172,33% OFF,345,520,59340,89440,30100,50.72463768
6.88E+10,STVJD-0,CAMP_SAN_01,P08,1190,BOGOF,22,88,26180,104720,78540,300
41b8f8,STBLR-0,CAMP_DIW_01,P08,1190,BOGOF,56,220,66640,261800,195160,292.8571429
7.34E+11,STCHE-0,CAMP_DIW_01,P06,415,25% OFF,105,92,43575,38180,-5395,-12.38095238
cbe691,STBLR-0,CAMP_DIW_01,P10,65,50% OFF,103,134,6695,8710,2015,30.09708738
0f2c3a,STCBE-0,CAMP_SAN_01,P07,300,BOGOF,30,117,9000,35100,26100,290
5ae6d6,STBLR-1,CAMP_SAN_01,P09,90,25% OFF,82,74,7380,6660,-720,-9.756097561
a9ee19,STBLR-1,CAMP_SAN_01,P08,1190,BOGOF,58,158,69020,188020,119000,172.4137931
4ab9ba,STTRV-1,CAMP_SAN_01,P01,172,33% OFF,165,232,28380,39904,11524,40.60606061
3164ea,STMDU-2,CAMP_SAN_01,P01,172,33% OFF,265,328,45580,56416,10836,23.77358491
7bdc1e,STVSK-4,CAMP_DIW_01,P07,300,BOGOF,50,149,15000,44700,29700,198
565a38,STTRV-0,CAMP_SAN_01,P07,300,BOGOF,30,117,9000,35100,26100,290
ab3517,STTRV-1,CAMP_SAN_01,P04,370,BOGOF,190,733,70300,271210,200910,285.7894737
1b295f,STCHE-5,CAMP_DIW_01,P12,62,50% OFF,110,130,6820,8060,1240,18.18181818
a55960,STBLR-1,CAMP_DIW_01,P08,1190,BOGOF,50,149,59500,177310,117810,198
5a0c33,STCBE-2,CAMP_DIW_01,P10,65,50% OFF,87,127,5655,8255,2600,45.97701149
74d23a,STCHE-0,CAMP_DIW_01,P07,300,BOGOF,75,252,22500,75600,53100,236
d105db,STCBE-4,CAMP_SAN_01,P07,300,BOGOF,43,111,12900,33300,20400,158.1395349
1620ea,STMYS-3,CAMP_DIW_01,P06,415,25% OFF,101,89,41915,36935,-4980,-11.88118812
2177f8,STMDU-0,CAMP_DIW_01,P04,290,25% OFF,234,208,67860,60320,-7540,-11.11111111
609bfd,STBLR-1,CAMP_DIW_01,P12,62,50% OFF,129,170,7998,10540,2542,31.78294574
0013db,STBLR-1,CAMP_SAN_01,P02,860,33% OFF,435,622,374100,534920,160820,42.98850575
6f3e24,STHYD-6,CAMP_DIW_01,P15,3000,500 Cashback,388,1129,1164000,3387000,2223000,190.9793814
79a95a,STHYD-3,CAMP_SAN_01,P15,3000,500 Cashback,121,200,363000,600000,237000,65.2892562
8cd1ec,STCHE-1,CAMP_SAN_01,P13,350,BOGOF,124,324,43400,113400,70000,161.2903226
e57227,STCHE-6,CAMP_SAN_01,P05,55,25% OFF,25,18,1375,990,-385,-28
79577d,STBLR-9,CAMP_DIW_01,P03,156,25% OFF,348,337,54288,52572,-1716,-3.16091954
dbaf92,STBLR-6,CAMP_SAN_01,P01,172,33% OFF,301,454,51772,78088,26316,50.83056478
27bc6e,STCBE-2,CAMP_DIW_01,P14,1020,BOGOF,42,160,42840,163200,120360,280.952381
53bb94,STHYD-2,CAMP_DIW_01,P02,860,33% OFF,402,611,345720,525460,179740,51.99004975
2fe1bb,STCHE-1,CAMP_SAN_01,P04,370,BOGOF,460,1168,170200,432160,261960,153.9130435
e553f2,STTRV-0,CAMP_DIW_01,P13,350,BOGOF,38,129,13300,45150,31850,239.4736842
fc376a,STHYD-0,CAMP_SAN_01,P14,1020,BOGOF,106,422,108120,430440,322320,298.1132075
fdd666,STMLR-0,CAMP_DIW_01,P06,415,25% OFF,38,33,15770,13695,-2075,-13.15789474
bbf357,STVSK-4,CAMP_SAN_01,P11,190,50% OFF,40,57,7600,10830,3230,42.5
d180ef,STBLR-7,CAMP_SAN_01,P01,172,33% OFF,341,531,58652,91332,32680,55.71847507
4888d5,STBLR-3,CAMP_DIW_01,P07,300,BOGOF,70,231,21000,69300,48300,230
dead78,STVJD-0,CAMP_DIW_01,P12,62,50% OFF,68,90,4216,5580,1364,32.35294118
c198da,STMDU-2,CAMP_SAN_01,P06,415,25% OFF,19,15,7885,6225,-1660,-21.05263158
3cb389,STCHE-6,CAMP_DIW_01,P01,172,33% OFF,309,460,53148,79120,25972,48.86731392
667c78,STVSK-4,CAMP_SAN_01,P01,172,33% OFF,223,301,38356,51772,13416,34.97757848
02b894,STBLR-2,CAMP_SAN_01,P02,860,33% OFF,477,658,410220,565880,155660,37.94549266
1bff17,STCHE-6,CAMP_DIW_01,P05,55,25% OFF,112,85,6160,4675,-1485,-24.10714286
d6ff76,STMDU-2,CAMP_DIW_01,P14,1020,BOGOF,28,96,28560,97920,69360,242.8571429
d1e51d,STCBE-4,CAMP_DIW_01,P07,300,BOGOF,42,130,12600,39000,26400,209.5238095
8f2a5a,STVSK-2,CAMP_SAN_01,P11,190,50% OFF,25,37,4750,7030,2280,48
87be33,STBLR-6,CAMP_SAN_01,P13,350,BOGOF,120,516,42000,180600,138600,330
a1e541,STHYD-1,CAMP_DIW_01,P01,172,33% OFF,311,385,53492,66220,12728,23.79421222
6a1a5a,STVSK-0,CAMP_DIW_01,P15,3000,500 Cashback,250,755,750000,2265000,1515000,202
361cfb,STMLR-0,CAMP_DIW_01,P14,1020,BOGOF,22,69,22440,70380,47940,213.6363636
951bda,STBLR-9,CAMP_DIW_01,P07,300,BOGOF,63,213,18900,63900,45000,238.0952381
a692dc,STCHE-1,CAMP_SAN_01,P01,172,33% OFF,270,340,46440,58480,12040,25.92592593
94953c,STMLR-2,CAMP_SAN_01,P06,415,25% OFF,15,12,6225,4980,-1245,-20
af100a,STMLR-2,CAMP_SAN_01,P03,200,BOGOF,190,752,38000,150400,112400,295.7894737
223d36,STMYS-0,CAMP_DIW_01,P10,65,50% OFF,129,167,8385,10855,2470,29.45736434
ff43bf,STHYD-2,CAMP_DIW_01,P11,190,50% OFF,91,116,17290,22040,4750,27.47252747
44838e,STVJD-1,CAMP_DIW_01,P06,415,25% OFF,49,40,20335,16600,-3735,-18.36734694
1fa488,STVJD-0,CAMP_DIW_01,P07,300,BOGOF,31,105,9300,31500,22200,238.7096774
73211e,STCBE-1,CAMP_DIW_01,P01,172,33% OFF,182,223,31304,38356,7052,22.52747253
93a29e,STCHE-4,CAMP_SAN_01,P05,55,25% OFF,28,22,1540,1210,-330,-21.42857143
ec5570,STVJD-1,CAMP_DIW_01,P10,65,50% OFF,71,95,4615,6175,1560,33.8028169
6ee2af,STHYD-3,CAMP_SAN_01,P02,860,33% OFF,595,892,511700,767120,255420,49.91596639
f3a7b2,STHYD-6,CAMP_SAN_01,P01,172,33% OFF,306,416,52632,71552,18920,35.94771242
2186aa,STCBE-3,CAMP_SAN_01,P05,55,25% OFF,19,15,1045,825,-220,-21.05263158
e7bdad,STMLR-1,CAMP_DIW_01,P14,1020,BOGOF,24,80,24480,81600,57120,233.3333333
f90ae9,STCBE-0,CAMP_SAN_01,P13,350,BOGOF,82,323,28700,113050,84350,293.902439
348fe6,STBLR-8,CAMP_DIW_01,P01,172,33% OFF,332,471,57104,81012,23908,41.86746988
17d5c1,STCBE-0,CAMP_DIW_01,P13,350,BOGOF,52,173,18200,60550,42350,232.6923077
8f5618,STBLR-1,CAMP_DIW_01,P04,290,25% OFF,302,289,87580,83810,-3770,-4.304635762
6bfa15,STCBE-2,CAMP_SAN_01,P06,415,25% OFF,16,13,6640,5395,-1245,-18.75
aac58d,STBLR-6,CAMP_DIW_01,P08,1190,BOGOF,52,204,61880,242760,180880,292.3076923
ed0d01,STBLR-2,CAMP_DIW_01,P12,62,50% OFF,108,145,6696,8990,2294,34.25925926
0eb41f,STVSK-2,CAMP_SAN_01,P01,172,33% OFF,232,364,39904,62608,22704,56.89655172
9b8658,STHYD-5,CAMP_DIW_01,P11,190,50% OFF,73,97,13870,18430,4560,32.87671233
3bc352,STHYD-3,CAMP_DIW_01,P07,300,BOGOF,54,170,16200,51000,34800,214.8148148
40f110,STBLR-9,CAMP_DIW_01,P12,62,50% OFF,122,163,7564,10106,2542,33.60655738
55fed8,STCBE-3,CAMP_DIW_01,P09,110,50% OFF,40,60,4400,6600,2200,50
c1cdb5,STCHE-0,CAMP_SAN_01,P15,3000,500 Cashback,135,286,405000,858000,453000,111.8518519
c134bb,STBLR-8,CAMP_SAN_01,P07,300,BOGOF,51,205,15300,61500,46200,301.9607843
2361c6,STBLR-0,CAMP_DIW_01,P06,415,25% OFF,94,83,39010,34445,-4565,-11.70212766
b44f0e,STHYD-2,CAMP_SAN_01,P15,3000,500 Cashback,136,288,408000,864000,456000,111.7647059
607c9d,STCHE-2,CAMP_SAN_01,P02,860,33% OFF,556,711,478160,611460,133300,27.87769784
5ea63d,STCBE-3,CAMP_DIW_01,P12,62,50% OFF,82,126,5084,7812,2728,53.65853659
323aee,STVSK-0,CAMP_DIW_01,P07,300,BOGOF,36,119,10800,35700,24900,230.5555556
114087,STHYD-3,CAMP_SAN_01,P06,415,25% OFF,28,20,11620,8300,-3320,-28.57142857
99482c,STBLR-8,CAMP_SAN_01,P08,1190,BOGOF,42,161,49980,191590,141610,283.3333333
5ab1d5,STCHE-6,CAMP_DIW_01,P06,415,25% OFF,98,76,40670,31540,-9130,-22.44897959
97ad03,STCBE-1,CAMP_SAN_01,P02,860,33% OFF,379,462,325940,397320,71380,21.89973615
b666fa,STTRV-1,CAMP_DIW_01,P05,55,25% OFF,57,55,3135,3025,-110,-3.50877193
da3c49,STMLR-2,CAMP_SAN_01,P02,860,33% OFF,270,313,232200,269180,36980,15.92592593
3459ec,STCHE-3,CAMP_SAN_01,P02,860,33% OFF,468,636,402480,546960,144480,35.8974359
7f81c2,STCHE-2,CAMP_DIW_01,P05,55,25% OFF,91,88,5005,4840,-165,-3.296703297
b17786,STMLR-0,CAMP_SAN_01,P13,350,BOGOF,63,163,22050,57050,35000,158.7301587
2cbc21,STHYD-1,CAMP_SAN_01,P09,90,25% OFF,58,47,5220,4230,-990,-18.96551724
eacf93,STTRV-1,CAMP_SAN_01,P11,190,50% OFF,24,34,4560,6460,1900,41.66666667
0f184e,STVSK-0,CAMP_DIW_01,P05,55,25% OFF,89,80,4895,4400,-495,-10.11235955
52ec61,STBLR-8,CAMP_DIW_01,P10,65,50% OFF,133,172,8645,11180,2535,29.32330827
541bef,STHYD-4,CAMP_SAN_01,P01,172,33% OFF,234,322,40248,55384,15136,37.60683761
86a92b,STMLR-2,CAMP_DIW_01,P11,190,50% OFF,42,45,7980,8550,570,7.142857143
861116,STBLR-7,CAMP_DIW_01,P06,415,25% OFF,96,84,39840,34860,-4980,-12.5
c6d7c5,STMYS-3,CAMP_DIW_01,P12,62,50% OFF,124,145,7688,8990,1302,16.93548387
b58c2d,STMYS-0,CAMP_SAN_01,P02,860,33% OFF,499,703,429140,604580,175440,40.88176353
d59c23,STCBE-3,CAMP_DIW_01,P03,156,25% OFF,252,224,39312,34944,-4368,-11.11111111
68a7bc,STBLR-5,CAMP_DIW_01,P04,290,25% OFF,322,276,93380,80040,-13340,-14.28571429
f98db5,STBLR-2,CAMP_SAN_01,P15,3000,500 Cashback,129,279,387000,837000,450000,116.2790698
ffaba4,STBLR-8,CAMP_SAN_01,P09,90,25% OFF,46,33,4140,2970,-1170,-28.26086957
f725c0,STCBE-3,CAMP_SAN_01,P03,200,BOGOF,228,898,45600,179600,134000,293.8596491
f8e037,STHYD-2,CAMP_DIW_01,P08,1190,BOGOF,52,175,61880,208250,146370,236.5384615
b526b4,STCHE-7,CAMP_SAN_01,P02,860,33% OFF,525,756,451500,650160,198660,44
0491f4,STVSK-2,CAMP_DIW_01,P11,190,50% OFF,38,58,7220,11020,3800,52.63157895
879d99,STHYD-5,CAMP_DIW_01,P09,110,50% OFF,92,124,10120,13640,3520,34.7826087
ec3591,STCHE-1,CAMP_SAN_01,P09,90,25% OFF,79,63,7110,5670,-1440,-20.25316456
2db607,STCBE-1,CAMP_DIW_01,P14,1020,BOGOF,40,136,40800,138720,97920,240
b78191,STBLR-3,CAMP_SAN_01,P14,1020,BOGOF,91,361,92820,368220,275400,296.7032967
7b1d41,STMYS-2,CAMP_DIW_01,P14,1020,BOGOF,43,125,43860,127500,83640,190.6976744
a6e691,STCHE-0,CAMP_SAN_01,P03,200,BOGOF,294,1134,58800,226800,168000,285.7142857
f21ef6,STMLR-1,CAMP_SAN_01,P06,415,25% OFF,18,14,7470,5810,-1660,-22.22222222
b999c5,STMYS-2,CAMP_SAN_01,P03,200,BOGOF,406,1015,81200,203000,121800,150
f6aa36,STVSK-3,CAMP_DIW_01,P06,415,25% OFF,63,54,26145,22410,-3735,-14.28571429
d78c78,STCHE-0,CAMP_DIW_01,P14,1020,BOGOF,52,182,53040,185640,132600,250
12573c,STHYD-3,CAMP_SAN_01,P12,62,50% OFF,64,100,3968,6200,2232,56.25
38ebfb,STCBE-1,CAMP_SAN_01,P10,50,25% OFF,27,20,1350,1000,-350,-25.92592593
5d23c1,STVSK-4,CAMP_SAN_01,P12,62,50% OFF,40,58,2480,3596,1116,45
449732,STBLR-9,CAMP_DIW_01,P05,55,25% OFF,101,97,5555,5335,-220,-3.96039604
b83644,STBLR-6,CAMP_DIW_01,P11,190,50% OFF,75,117,14250,22230,7980,56
17537,STMDU-2,CAMP_SAN_01,P08,1190,BOGOF,33,129,39270,153510,114240,290.9090909
ab8eb3,STHYD-6,CAMP_DIW_01,P06,415,25% OFF,85,74,35275,30710,-4565,-12.94117647
99ce6a,STVSK-3,CAMP_SAN_01,P03,200,BOGOF,250,687,50000,137400,87400,174.8
42b041,STBLR-1,CAMP_DIW_01,P01,172,33% OFF,357,514,61404,88408,27004,43.97759104
fd5955,STCBE-0,CAMP_DIW_01,P02,860,33% OFF,313,541,269180,465260,196080,72.84345048
9.33E+11,STBLR-3,CAMP_SAN_01,P08,1190,BOGOF,40,154,47600,183260,135660,285
268b09,STMLR-1,CAMP_SAN_01,P13,350,BOGOF,49,189,17150,66150,49000,285.7142857
dcaeaa,STBLR-7,CAMP_DIW_01,P04,290,25% OFF,276,242,80040,70180,-9860,-12.31884058
d31787,STMYS-2,CAMP_SAN_01,P10,50,25% OFF,25,20,1250,1000,-250,-20
f34069,STBLR-9,CAMP_SAN_01,P09,90,25% OFF,61,57,5490,5130,-360,-6.557377049
4f40ed,STCHE-5,CAMP_SAN_01,P02,860,33% OFF,564,721,485040,620060,135020,27.83687943
12bb06,STHYD-1,CAMP_DIW_01,P03,156,25% OFF,351,319,54756,49764,-4992,-9.116809117
5f2c41,STCHE-6,CAMP_DIW_01,P08,1190,BOGOF,54,185,64260,220150,155890,242.5925926
e0de60,STHYD-6,CAMP_DIW_01,P03,156,25% OFF,327,294,51012,45864,-5148,-10.09174312
152ae4,STHYD-1,CAMP_SAN_01,P12,62,50% OFF,51,57,3162,3534,372,11.76470588
8e6ee5,STMLR-0,CAMP_DIW_01,P05,55,25% OFF,52,45,2860,2475,-385,-13.46153846
d0fd0e,STBLR-0,CAMP_SAN_01,P11,190,50% OFF,43,62,8170,11780,3610,44.18604651
4fa17c,STCHE-4,CAMP_DIW_01,P01,172,33% OFF,327,503,56244,86516,30272,53.82262997
bcf305,STCHE-5,CAMP_DIW_01,P09,110,50% OFF,75,80,8250,8800,550,6.666666667
66050c,STCHE-6,CAMP_SAN_01,P08,1190,BOGOF,60,238,71400,283220,211820,296.6666667
407f1c,STBLR-2,CAMP_SAN_01,P13,350,BOGOF,117,469,40950,164150,123200,300.8547009
e12c11,STCHE-1,CAMP_SAN_01,P14,1020,BOGOF,112,294,114240,299880,185640,162.5
46d57b,STBLR-9,CAMP_DIW_01,P13,350,BOGOF,94,329,32900,115150,82250,250
e80ad8,STCHE-7,CAMP_DIW_01,P10,65,50% OFF,136,179,8840,11635,2795,31.61764706
f2bdcc,STBLR-4,CAMP_DIW_01,P01,172,33% OFF,337,478,57964,82216,24252,41.83976261
8d20b8,STBLR-5,CAMP_DIW_01,P09,110,50% OFF,75,95,8250,10450,2200,26.66666667
f88523,STTRV-1,CAMP_SAN_01,P05,55,25% OFF,10,9,550,495,-55,-10
177b80,STMLR-0,CAMP_SAN_01,P14,1020,BOGOF,37,96,37740,97920,60180,159.4594595
317699,STCHE-2,CAMP_SAN_01,P03,200,BOGOF,310,1246,62000,249200,187200,301.9354839
ef6d6d,STBLR-2,CAMP_SAN_01,P14,1020,BOGOF,88,346,89760,352920,263160,293.1818182
1e51ee,STVSK-3,CAMP_SAN_01,P12,62,50% OFF,43,51,2666,3162,496,18.60465116
c55ec9,STBLR-1,CAMP_SAN_01,P15,3000,500 Cashback,136,220,408000,660000,252000,61.76470588
6bbadf,STHYD-1,CAMP_DIW_01,P14,1020,BOGOF,43,127,43860,129540,85680,195.3488372
edaef4,STHYD-5,CAMP_SAN_01,P03,200,BOGOF,416,1630,83200,326000,242800,291.8269231
d3f755,STCBE-1,CAMP_SAN_01,P08,1190,BOGOF,43,171,51170,203490,152320,297.6744186
0ba095,STCBE-1,CAMP_DIW_01,P03,156,25% OFF,274,210,42744,32760,-9984,-23.35766423
911349,STHYD-0,CAMP_DIW_01,P15,3000,500 Cashback,397,1214,1191000,3642000,2451000,205.7934509
6d65d2,STBLR-8,CAMP_SAN_01,P04,370,BOGOF,480,1867,177600,690790,513190,288.9583333
4ab3bc,STHYD-2,CAMP_SAN_01,P09,90,25% OFF,66,49,5940,4410,-1530,-25.75757576
c22cf6,STCHE-6,CAMP_SAN_01,P12,62,50% OFF,58,81,3596,5022,1426,39.65517241
cc2182,STMDU-1,CAMP_DIW_01,P12,62,50% OFF,85,117,5270,7254,1984,37.64705882
bdf2b8,STVJD-1,CAMP_DIW_01,P12,62,50% OFF,56,71,3472,4402,930,26.78571429
db8aa8,STTRV-1,CAMP_SAN_01,P03,200,BOGOF,193,746,38600,149200,110600,286.5284974
466d6c,STMYS-1,CAMP_SAN_01,P11,190,50% OFF,31,50,5890,9500,3610,61.29032258
6444b7,STCHE-2,CAMP_DIW_01,P06,415,25% OFF,85,81,35275,33615,-1660,-4.705882353
f1cd45,STVJD-1,CAMP_DIW_01,P11,190,50% OFF,50,64,9500,12160,2660,28
23421e,STBLR-2,CAMP_SAN_01,P12,62,50% OFF,54,77,3348,4774,1426,42.59259259
3c3c49,STCBE-2,CAMP_SAN_01,P08,1190,BOGOF,40,168,47600,199920,152320,320
680acd,STHYD-3,CAMP_SAN_01,P11,190,50% OFF,46,73,8740,13870,5130,58.69565217
fe2fe7,STCHE-4,CAMP_DIW_01,P05,55,25% OFF,127,115,6985,6325,-660,-9.448818898
e2abd2,STCHE-3,CAMP_DIW_01,P09,110,50% OFF,73,92,8030,10120,2090,26.02739726
7c51b1,STCBE-0,CAMP_DIW_01,P09,110,50% OFF,59,89,6490,9790,3300,50.84745763
494f1b,STVSK-2,CAMP_SAN_01,P13,350,BOGOF,94,374,32900,130900,98000,297.8723404
144c17,STCHE-2,CAMP_DIW_01,P02,860,33% OFF,411,509,353460,437740,84280,23.84428224
28acbc,STBLR-2,CAMP_DIW_01,P10,65,50% OFF,105,132,6825,8580,1755,25.71428571
00af86,STCBE-0,CAMP_SAN_01,P06,415,25% OFF,15,14,6225,5810,-415,-6.666666667
6321fa,STCHE-3,CAMP_SAN_01,P10,50,25% OFF,31,26,1550,1300,-250,-16.12903226
6a7668,STCHE-4,CAMP_SAN_01,P15,3000,500 Cashback,112,321,336000,963000,627000,186.6071429
c7fefa,STMDU-1,CAMP_SAN_01,P11,190,50% OFF,28,40,5320,7600,2280,42.85714286
c5f80e,STCHE-1,CAMP_DIW_01,P14,1020,BOGOF,43,125,43860,127500,83640,190.6976744
86755e,STCHE-4,CAMP_SAN_01,P07,300,BOGOF,45,191,13500,57300,43800,324.4444444
3.56E+10,STMDU-3,CAMP_SAN_01,P08,1190,BOGOF,36,145,42840,172550,129710,302.7777778
a26b45,STBLR-3,CAMP_DIW_01,P01,172,33% OFF,287,413,49364,71036,21672,43.90243902
fe7b5d,STHYD-2,CAMP_SAN_01,P03,200,BOGOF,472,1902,94400,380400,286000,302.9661017
8d68bc,STHYD-2,CAMP_DIW_01,P03,156,25% OFF,357,289,55692,45084,-10608,-19.04761905
9bc176,STHYD-3,CAMP_SAN_01,P04,370,BOGOF,416,1085,153920,401450,247530,160.8173077
17df71,STHYD-0,CAMP_SAN_01,P08,1190,BOGOF,46,179,54740,213010,158270,289.1304348
342d35,STCBE-3,CAMP_DIW_01,P08,1190,BOGOF,29,96,34510,114240,79730,231.0344828
d8f51c,STMYS-1,CAMP_DIW_01,P15,3000,500 Cashback,449,1499,1347000,4497000,3150000,233.8530067
cd36b2,STCHE-4,CAMP_DIW_01,P10,65,50% OFF,127,168,8255,10920,2665,32.28346457
780aaa,STMYS-1,CAMP_SAN_01,P06,415,25% OFF,19,14,7885,5810,-2075,-26.31578947
decd5e,STMDU-2,CAMP_SAN_01,P10,50,25% OFF,21,17,1050,850,-200,-19.04761905
d88318,STCHE-5,CAMP_DIW_01,P08,1190,BOGOF,45,149,53550,177310,123760,231.1111111
bf2632,STCHE-1,CAMP_SAN_01,P12,62,50% OFF,57,66,3534,4092,558,15.78947368
902903,STVSK-2,CAMP_DIW_01,P13,350,BOGOF,49,164,17150,57400,40250,234.6938776
8481be,STCHE-1,CAMP_DIW_01,P04,290,25% OFF,327,287,94830,83230,-11600,-12.2324159
333ef0,STHYD-0,CAMP_DIW_01,P14,1020,BOGOF,47,163,47940,166260,118320,246.8085106
5dd3d3,STVJD-0,CAMP_DIW_01,P09,110,50% OFF,40,54,4400,5940,1540,35
98cc83,STVSK-0,CAMP_DIW_01,P10,65,50% OFF,84,127,5460,8255,2795,51.19047619
5a6ad7,STBLR-9,CAMP_DIW_01,P14,1020,BOGOF,45,153,45900,156060,110160,240
b0cc1e,STBLR-9,CAMP_SAN_01,P02,860,33% OFF,610,847,524600,728420,203820,38.85245902
21b73e,STTRV-0,CAMP_DIW_01,P05,55,25% OFF,61,59,3355,3245,-110,-3.278688525
c3c9e3,STVSK-1,CAMP_DIW_01,P15,3000,500 Cashback,301,869,903000,2607000,1704000,188.7043189
b76f57,STBLR-8,CAMP_DIW_01,P13,350,BOGOF,66,220,23100,77000,53900,233.3333333
95792f,STMDU-2,CAMP_SAN_01,P15,3000,500 Cashback,106,243,318000,729000,411000,129.245283
53b2fd,STHYD-6,CAMP_DIW_01,P01,172,33% OFF,320,467,55040,80324,25284,45.9375
6a54d2,STCHE-5,CAMP_SAN_01,P01,172,33% OFF,303,360,52116,61920,9804,18.81188119
cb7ddd,STVJD-1,CAMP_DIW_01,P09,110,50% OFF,49,65,5390,7150,1760,32.65306122
